quoteid,quote_no,no_pax,adults,children,infants,calculated_pax
9,TDU00004G,18,1,0,0,1
13,TDU00006G,4,1,0,0,1
18,TDU00007G,28,27,0,0,27
22,TDU00008G,30,1,0,0,1
23,TDU00009G,34,33,4,3,40
25,TDU00010G,0,1,0,0,1
27,TDU00011G,0,1,0,0,1
30,TDU00012G,0,1,0,0,1
33,TDU00013G,0,1,0,0,1
34,TDU00014G,0,1,0,0,1
35,TDU00015G,0,1,0,0,1
40,TDU00018G,24,24,1,0,25
42,TDU00019G,0,1,0,0,1
43,TDU00020G,0,1,0,0,1
45,TDU00021G,20,1,0,0,1
46,TDU00022G,0,1,0,0,1
47,TDU00023G,20,1,0,0,1
48,TDU00024G,0,1,0,0,1
1333228,TDU12569G,0,1,0,0,1
1397762,TDU12967G,0,1,0,0,1
1508672,TDU14645G,0,1,0,0,1
1542602,TDU15168G,0,1,0,0,1
1777358,TDU17961G,0,1,0,0,1
1804663,TDU18189G,0,1,0,0,1
1821971,TDU18387G,0,1,0,0,1
1892732,TDU19238G,0,1,0,0,1
1903320,TDU19374G,0,1,0,0,1
1906692,TDU19408G,0,1,0,0,1
1922963,TDU19574G,0,1,0,0,1
1933021,TDU19698G,0,1,0,0,1
1943346,TDU19765G,0,1,0,0,1
1973710,TDU20031G,0,1,0,0,1
1980581,TDU20091G,0,1,0,0,1
2003892,TDU20319G,0,1,0,0,1
2007443,TDU20352G,0,20,0,0,20
2020555,TDU20489G,0,1,0,0,1
2023950,TDU20534G,0,1,0,0,1
2028409,TDU20586G,0,1,0,0,1
2038482,TDU20699G,0,1,0,0,1
2042033,TDU20741G,0,10,0,0,10
2046862,TDU20784G,0,1,0,0,1
2049021,TDU20813G,0,1,0,0,1
2051961,TDU20840G,0,1,0,0,1
2055558,TDU20885G,0,1,0,0,1
2056693,TDU20894G,0,1,0,0,1
2060655,TDU20956G,0,1,0,0,1
2062869,TDU20986G,0,1,0,0,1
2063467,TDU20994G,0,1,0,0,1
2063787,TDU21003G,0,1,0,0,1
2065338,TDU21031G,0,1,0,0,1
2065505,TDU21032G,0,1,0,0,1
2067201,TDU21050G,0,1,0,0,1
2068558,TDU21079G,0,1,0,0,1
2068829,TDU21081G,0,1,0,0,1
